goodreads_book_id,tag_id,count
1625,23831,217
1627,10210,19
1633,24526,13
1635,10210,3
1715,23831,1226
1823,14552,24
1824,19733,5
1842,21773,575
1845,8055,140
1846,21773,98
1848,31155,22
1849,20939,106
1852,7457,5666
1869,21773,216
1875,26816,6
1885,14552,232
1897,8055,3
1898,30358,53
1911,14552,687
1934,14552,132
1953,7457,16170
1990,14552,5
2002,22973,5
2049,10210,7
2050,8517,33
2052,29076,48
2054,8517,325
2067,24526,59
2068,14552,44
2094,11743,10
2095,10210,5
2122,26138,51
2137,26138,39
2142,11743,45
2152,11743,1165
2156,7457,14048
2159,5951,113
2165,7457,10485
2175,26138,490
2183,26138,33
2187,11743,6142
2199,14552,3124
2203,4605,2591
2255,8055,5
2265,19733,18
2279,4605,299
2368,4605,633
2371,21773,183
2372,11743,7
2373,30358,543
2430,8517,14
2442,26816,15
2493,11305,796
2517,7457,45
2526,11305,71
2528,11743,332
2530,11305,10
2547,11743,655
2612,24526,1564
2615,24526,14
2623,7457,15539
2657,20939,246
2666,11743,1349
2677,23471,28
2696,7457,99
2715,14552,1854
2743,19733,237
2744,8055,165
2748,11743,178
2767,23471,21
2784,21773,175
2794,11743,1685
2839,8055,160
2865,11743,2943
2872,14552,26
2873,11305,6
2879,11743,20
2880,14821,14
2915,8055,9
2932,14552,53
2956,11743,7519
2978,31155,37
2998,10210,150
3008,7457,5576
3028,5951,115
3049,11305,511
3061,21773,18
3087,7457,4067
3102,26138,69
3103,11743,532
3109,10210,42
3110,14552,436
3273,26138,19
3291,11743,226
3300,26138,28
3304,8055,15
3368,21773,107
3378,21773,9
3379,11743,387
3381,8517,5
3384,11743,476
3388,10210,10
3412,14552,42
3431,11743,245
3446,11305,5
3447,29076,15
3462,11743,614
3463,26138,1212
3464,20939,48
3465,26138,69
3466,11743,734
3467,11305,506
3473,8055,33
3476,11743,410
3478,10210,36
3483,11743,1153
3507,10210,37
3559,19733,17
3562,7457,757
3579,14552,11
3581,30358,17
3586,20939,471
3590,30358,126
3636,11305,252
3648,8055,40
3656,7457,11
3679,11743,1343
3682,20939,363
3685,11743,1275
3686,11743,68
3690,11743,991
3692,25647,31
3698,11743,1204
3710,8055,37
3711,25647,32
3717,10210,6
3750,11743,444
3757,10210,25
3758,7457,298
3759,8517,48
3760,20939,92
3762,10210,24
3763,30358,303
3764,11743,477
3805,7457,36
3832,7457,10
3836,7457,6219
3858,19733,95
3867,8055,135
3869,14552,452
3872,14552,461
3873,10210,12
3876,14552,52
3882,21773,20
3885,8150,186
3888,21773,18
3895,8150,576
3972,8055,4
3973,10210,8
3974,30358,137
3977,30358,5
3980,2938,118
3985,11743,3721
4004,31155,56
4005,28384,58
4006,11305,21
4008,20939,11
4009,8055,25
4031,19733,7
4035,29076,21
4069,23471,2232
4076,14552,3
4099,21773,56
4122,5951,1025
4135,8150,164
4136,21773,411
4137,4605,478
4138,19733,1119
4143,21773,203
4214,8055,1021
4261,8055,24
4264,11743,374
4268,8055,159
4271,7457,18
4325,10210,38
4339,11743,47
4364,14552,48
4373,21773,231
4381,11743,9502
4395,14552,278
4406,14552,60
4407,7457,170
4473,7457,812
4477,5951,5
4507,21773,197
4516,29076,22
4530,11743,206
4538,8055,40
4588,8055,859
4591,23471,6
4599,11305,31
4600,7457,8
4625,11743,532
4630,8517,9
4631,11743,31
4633,7457,188
4645,11743,602
4652,11743,407
4656,10210,4
4657,7457,3
4659,10210,7
4660,11743,259
4662,11305,2
4671,26138,2090
4687,26138,51
4692,31155,9
4701,11743,803
4708,10210,74
4796,7457,764
4799,7457,1901
4806,31155,33
4813,26816,10
4820,25647,18
4830,11743,368
4835,7457,4
4865,23471,149
4866,7457,21
4887,28384,4
4894,10210,17
4898,5951,453
4900,11743,4784
4909,19733,434
4912,21773,266
4921,21773,12
4929,11743,3497
4934,20939,52
4948,26816,155
4950,14552,3
4952,11743,40
4953,4605,282
4954,24526,8
4955,8055,23
4965,14552,177
4978,14821,993
4979,21773,254
4980,10210,53
4981,11305,491
4982,11305,107
4983,11743,151
4984,10210,2
4985,7457,242
4986,11305,13
4987,23471,4
4989,11743,172
5015,7457,13
5038,10210,34
5043,25647,124
5052,10210,8
5053,14552,19
5055,20939,50
5062,14552,42
5064,30358,25
5068,11743,42
5084,11743,20
5091,20939,32
5093,26816,23
5094,14821,1484
5096,30358,76
5107,11743,13435
5113,25647,48
5114,7457,351
5128,25647,45
5129,11305,719
5130,25647,9
5139,8055,578
5148,7457,3018
5157,8517,4
5158,26138,15
5159,8055,33
5160,7457,25
5161,20939,67
5166,20939,66
5167,4605,8
5168,26138,163
5171,14552,7
5174,14552,16
5175,11743,246
5176,20939,23
5179,8055,11
5180,26138,6
5181,8055,15
5182,11743,232
5186,19733,16
5187,7457,7
5190,8055,51
5191,11743,1134
5196,11743,67
5197,14552,18
5198,11743,258
5203,24526,43
5204,10210,7
5205,10210,4
5211,8055,104
5246,7457,3082
5289,11305,13
5296,11743,285
5297,10210,328
5306,7457,708
5308,11743,2364
5326,11305,1128
5338,7457,845
5344,14552,24
5345,4605,59
5346,10210,20
5347,28422,189
5348,11743,320
5349,30358,479
5350,30358,390
5351,8055,23
5352,11743,809
5354,30358,363
5355,8055,20
5356,30358,279
5357,10210,25
5358,10210,30
5359,29076,348
5360,8517,35
5364,11305,2110
5367,20939,7
5368,7457,110
5369,2938,19
5413,30358,26
5417,22973,2
5439,7457,49
5452,8055,281
5453,8055,39
5454,26138,346
5470,10210,235
5472,11305,62
5479,23471,49
5481,24526,22
5508,21773,47
5509,7457,73
5517,7457,1101
5526,11743,1149
5527,7457,792
5544,14552,144
5548,19733,98
5552,7457,3
5553,23471,9
5559,21773,20
5571,21773,25
5575,30358,168
5659,11305,1210
5693,7457,409
5695,23471,102
5697,11743,127
5720,8055,9
5752,25647,5
5755,21773,334
5759,24526,102
5787,23471,34
5797,26138,169
5805,7778,1886
5809,7457,131
5826,8055,301
5845,7457,110
5849,4605,7
5872,11743,568
5890,8517,138
5907,11743,11206
5932,21773,10
5936,23471,2
5942,20939,37
5946,8055,36
5954,11743,722
6138,26138,44
6149,8055,178
6150,11743,1278
6159,11743,386
6174,14821,7
6185,10210,266
6192,7457,160
6193,11743,377
6194,8055,38
6259,14552,88
6288,11743,1270
6294,22973,47
6295,7457,405
6310,7457,333
6319,11743,62
6327,11305,1859
6328,7457,44
6334,7457,218
6419,26138,212
6420,8055,68
6422,20939,2201
6423,10210,46
6424,20939,1941
6425,11743,593
6426,11743,126
6427,30358,85
6440,10210,41
6462,4605,735
6514,11743,819
6520,8517,5
6526,20939,468
6528,10210,22
6530,10210,18
6531,8055,10
6534,8055,28
6537,8055,11
6538,14821,32
6539,8055,18
6541,20939,773
6551,11743,579
6554,22973,8
6572,14821,171
6588,8517,165
6596,23471,361
6613,10210,3
6614,26138,48
6628,30358,11
6656,10210,77
6667,11743,14
6670,7457,64
6671,21773,5
6678,31155,26
6687,11305,884
6689,11305,2132
6690,7457,164
6693,10210,24
6694,11743,184
6697,19733,6
6708,10210,28
6709,21773,25
6748,19733,61
6749,11743,333
6750,11743,139
6751,23471,94
6753,10210,15
6759,10210,60
6819,8055,112
6820,10210,12
6853,20939,4193
6854,20939,2364
6858,8055,120
6862,11743,1003
6867,7457,977
6870,7457,13
6872,14821,10
6882,20939,8
6900,7457,473
6952,11743,2474
6969,11743,4470
6976,28384,22
7035,11743,673
7036,20939,856
7039,8517,120
7053,11743,471
7058,10210,8
7061,8517,342
7062,8055,5
7069,11743,2924
7073,20939,6
7081,30358,6
7082,8517,51
7126,26138,398
7144,20939,241
7184,20939,6
7186,11743,221
7190,7457,7969
7194,30358,192
7199,8517,9
7201,29076,4
7214,19733,213
7244,25647,362
7252,26138,6
7329,11305,2359
7332,11743,2365
7354,10210,17
7389,26138,8
7432,11743,241
7433,8517,37
7437,24526,27
7442,20673,22
7445,21773,2094
7455,26138,126
7493,7457,8
7494,10210,27
7510,29076,119
7520,10210,11
7531,19733,184
7572,26138,9
7579,21773,36
7588,23471,36
7603,14552,56
7604,11743,1029
7613,11305,2179
7624,8055,119
7628,7457,525
7661,14821,13
7663,11743,324
7667,26816,25
7668,8055,13
7669,14552,109
7670,11305,72
7672,30358,756
7673,10210,31
7675,20939,146
7677,20939,95
7679,20939,38
7682,10210,14
7707,20673,5
7714,11743,629
7723,14821,72
7728,11743,503
7733,23471,52
7742,11743,139
7745,21773,280
7748,19733,38
7763,8055,440
7769,11305,29
7770,23831,236
7779,11743,321
7780,7778,2
7784,7457,551
7785,11305,8
7788,11743,47
7797,11743,65
7805,8055,12
7815,7457,33
7869,20939,709
7882,11743,519
7909,14552,6
7911,11743,144
7926,11743,156
7967,20939,28
7968,26816,13
7973,26138,140
7979,11743,258
7980,11305,387
7981,11305,930
7983,11305,1234
7987,11743,175
7993,10210,10
7996,11305,3690
7998,11743,255
7999,11743,55
8073,11743,266
8087,11305,1629
8088,8055,19
8089,10210,11
8127,11743,3489
8155,7457,6
8172,11743,28
8248,4605,102
8252,11743,177
8253,21773,38
8282,11743,497
8296,11743,38
8337,19733,145
8492,8055,2
8515,24526,3
8600,5951,26
8646,8055,41
8647,11743,422
8648,11305,367
8650,14821,166
8676,21773,19
8680,23471,6
8682,25647,9
8694,26816,80
8695,11305,958
8696,4605,12
8698,11305,671
8725,8150,27
8732,11743,781
8745,31155,8
8765,8055,17
8852,14552,85
8908,30358,243
8909,30358,43
8914,4605,3
8921,11743,2165
8948,8055,8
8949,14821,200
8951,11743,69
8952,20939,9
8953,11743,188
8957,20939,10
8960,19052,6
8962,10210,20
8963,11743,78
8964,25647,44
8965,8055,10
8966,10210,15
8967,11743,92
8968,30358,20
9010,4605,98
9013,31155,54
9014,11743,106
9282,8055,32
9298,8055,55
9300,11743,313
9301,8055,81
9302,10210,11
9303,8055,64
9328,26138,177
9355,8055,40
9370,11743,737
9375,11743,2234
9416,8055,73
9417,8055,49
9418,10210,36
9419,11743,676
9420,11743,518
9454,7457,45
9475,11305,55
9503,11743,645
9516,7457,43
9517,8055,25
9522,8055,6
9526,19733,199
9530,29076,7
9531,20939,15
9532,10210,43
9534,26816,60
9539,26816,25
9549,10210,6
9555,10210,13
9557,20939,89
9566,7457,37
9567,11305,4
9569,11305,10
9570,11305,15
9589,8055,25
9590,10210,19
9592,26816,27
9593,11743,440
9594,8055,17
9595,10210,11
9597,8055,33
9598,11743,606
9601,7457,133
9646,19733,192
9648,7457,199
9650,7457,240
9654,26138,35
9712,11305,48
9717,7457,1880
9742,26816,23
9762,21773,37
9777,7457,191
9784,10210,26
9791,11743,89
9799,7778,11
9804,7457,148
9809,11743,1301
9820,7457,180
9822,7457,530
9827,20939,4
9833,8055,86
9838,31155,92
9844,11743,964
9854,5951,28
9864,26138,21
9865,7457,8
9912,30358,12
9913,10210,15
9914,11743,250
9915,10210,33
9943,20939,3
9957,14821,11
9998,23471,17
10006,11743,284
10009,7457,225
10031,7457,64
10033,10210,4
10037,23471,419
10058,7457,7
10065,7457,18
10073,11743,1481
10084,11305,526
10090,29076,3
10092,11743,112
10104,11743,29
10105,14552,41
10108,4605,59
10115,7457,6
10155,14552,9
10176,19733,1114
10210,10210,303
10222,7457,58
10235,26816,92
10238,25647,64
10365,11743,1993
10374,8055,197
10395,21773,113
10412,10210,14
10441,20939,44
10444,11743,221
10461,7457,46
10505,14552,189
10506,20939,12
10507,11305,118
10534,28384,30
10538,19733,632
10541,31155,150
10566,30358,153
10567,11743,964
10569,10210,36
10572,11305,26321
10574,29076,46
10577,10210,21
10579,8055,16
10583,22973,221
10584,14821,163
10585,11743,885
10588,11743,626
10589,8055,25
10592,7457,407
10596,29076,29
10603,11743,1176
10605,30358,235
10607,8517,33
10611,7457,9
10614,20939,225
10617,11305,38
10618,30358,61
10619,20939,47
10625,20939,229
10628,20939,99
10629,14821,405
10639,26816,90
10669,14552,75
10692,11305,1565
10739,8055,17
10765,21773,27
10775,31155,7
10799,11743,3380
10836,10210,3
10847,11743,34
10867,4605,7
10873,26138,100
10878,21773,24
10882,4605,74
10883,19733,8
10884,21773,261
10890,7077,120
10907,19733,57
10908,8055,15
10909,20939,85
10910,8055,100
10911,8055,86
10912,20939,18
10913,11743,801
10914,11743,388
10915,30358,12
10916,8517,52
10917,11743,4763
10920,11743,2096
10929,23471,30
10956,26138,43
10959,7457,23
10964,10210,291
10965,22973,59
10967,11305,967
10975,10210,31
10979,11743,1064
10987,22973,103
10988,26138,1664
10990,10210,19
11003,29076,42
11012,10210,59
11031,20939,342
11041,26138,62
11077,4605,46
11125,10210,70
11127,25647,218
11138,23471,558
11149,23471,427
11206,11743,815
11208,8055,40
11229,11743,438
11275,11305,591
11279,29076,42
11286,11305,128
11289,11305,117
11297,26138,776
11298,30358,8
11299,8055,87
11301,10210,6
11306,11743,148
11312,20939,61
11313,11743,259
11318,11743,131
11324,8055,13
11334,7457,658
11337,11743,2277
11339,21773,6
11346,10210,16
11359,26138,14
11366,7457,45
11376,11743,494
11413,26138,7
11422,8055,12
11429,11743,61
11430,8055,6
11432,7077,129
11433,8055,13
11436,8055,6
11437,11743,66
11438,11743,746
11446,23831,5
11449,11743,43
11466,19733,510
11472,11743,13
11486,11743,870
11507,25647,103
11525,31155,786
11553,8055,9
11557,26816,21
11563,8055,6
11564,14821,131
11566,30358,420
11570,30358,213
11573,29076,102
11574,7457,31
11580,14821,304
11588,8055,103
11590,20939,125
11597,11743,774
11602,14821,1119
11605,30358,9
11607,11743,90
11623,24526,28
11650,8055,84
11666,11743,329
11686,7457,73
11690,4605,95
11691,25647,45
11711,8055,84
11713,26138,320
11734,11743,742
11741,7457,95
11761,28422,10
11762,7457,368
11768,11743,1030
11824,14552,12
11831,7457,14
11899,8055,30
11901,10210,27
11908,11743,496
11915,29076,17
11918,14821,162
11919,29076,15
11922,11743,209
11987,2938,5
11989,7457,1889
11991,24526,13
12007,11743,361
12009,11305,16
12013,11743,253
12016,11305,20
12017,26816,40
12021,10210,16
12067,22973,254
12073,14552,4
12075,7457,28
12083,7457,366
12125,8055,43
12194,11743,681
12204,11743,20
12220,11743,902
12296,26138,384
12321,14552,52
12349,21773,11
12357,8055,8
12358,8055,8
12374,11743,340
12395,11743,72
12448,7457,240
12467,14552,64
12468,19733,7
12497,29076,89
12499,4605,17
12505,7457,2835
12527,26816,55
12535,4605,20
12540,25647,10
12542,7077,47
12543,19733,388
12555,10210,23
12557,11743,1158
12609,19733,86
12617,24526,14
12651,24526,8
12657,11743,454
12658,11743,573
12659,14552,54
12661,14552,63
12663,11743,3
12691,11743,361
12722,11743,434
12749,7457,1299
12781,11305,250
12786,4605,13
12839,26816,4
12857,23471,14
12873,29076,454
12898,11743,1535
12914,10210,17
12923,11743,318
12930,7457,143
12936,11743,1306
12938,23831,261
12948,11305,64
12957,7457,5209
12967,10210,27
12985,22973,14
12996,26138,170
13006,10210,30
13020,11743,188
13023,10210,175
13060,8055,15
13061,29076,4
13062,30358,26
13063,8517,46
13064,8055,11
13065,20939,156
13066,8055,20
13067,11743,202
13068,11743,201
13074,10210,3
13079,11743,588
13083,11743,510
13103,20939,20
13105,11743,21
13128,10210,34
13130,10210,20
13131,29076,106
13132,20939,917
13133,29076,106
13134,10210,12
13136,29076,166
13137,30358,516
13139,11743,270
13140,29076,141
13143,29076,117
13145,30358,830
13147,20939,318
13148,20939,1225
13151,11743,277
13152,11743,537
13153,11743,162
13157,8517,18
13162,26138,14
13168,11305,84
13214,19733,1451
13235,11305,68
13258,8517,12
13270,11743,10
13350,11305,58
13360,28384,33
13374,25647,33
13376,30358,25
13440,11305,140
13451,20939,9
13496,26138,239
13497,11305,21423
13501,7778,147
13521,7457,16
13529,26138,13
13570,19052,2348
13614,11305,159
13615,11743,208
13616,7778,217
13617,19052,2258
13618,11743,118
13619,11305,275
13620,14821,73
13621,22973,27
13642,7457,499
13651,23471,121
13658,7457,19
13659,7457,18
13661,7457,38
13662,7457,124
13667,10210,12
13747,8055,53
13809,26816,6
13810,10210,14
13811,11743,81
13812,10210,27
13813,10210,21
13815,10210,13
13817,10210,15
13821,26816,34
13829,20939,160
13830,10210,31
13831,11305,5727
13833,22973,19
13834,11743,33
13835,22973,20
13836,11305,3548
13837,11743,382
13839,24526,17
13872,8055,104
13878,11305,1397
13881,11743,93
13888,11305,4816
13890,26138,13
13891,10210,52
13895,11305,6689
13912,19733,46
13925,26138,187
13927,26138,282
13928,11743,406
13929,10210,13
13986,10210,20
14014,26138,31
14028,11743,504
14050,11305,3009
14064,10210,56
14069,14552,54
14082,7457,79
14096,28384,299
14118,26138,7
14142,11743,5
14185,23471,10
14201,10210,85
14241,8055,9
14249,26816,21
14250,8055,66
14280,8055,58
14295,10210,5
14316,10210,11
14318,14552,23
14358,8055,17
14362,8055,12
14376,14552,19
14383,22973,1064
14384,26138,1123
14403,21773,45
14404,11743,144
14460,8055,17
14461,8055,30
14469,10210,6
14480,7457,3
14481,7457,10
14497,11743,3632
14498,30358,8
14554,8517,55
14570,10210,9
14572,28384,300
14595,4605,47
14662,14552,22
14680,7457,347
14706,26138,9
14743,28384,129
14748,8055,180
14755,11743,173
14756,20939,155
14758,8055,103
14785,20939,222
14817,10210,44
14836,11743,2328
14839,11743,262
14864,30358,14
14865,8517,23
14866,10210,54
14891,19733,55
14905,26138,87
14935,14552,97
14940,7457,572
14942,26138,46
14963,8055,24
14964,26138,57
14965,8055,52
14975,25647,22
14990,25647,87
14995,29076,247
14996,11743,448
15014,21773,168
15015,23471,77
15018,28384,20
15019,23471,26
15047,14552,14
15050,8055,32
15054,8055,76
15055,25647,109
15096,26138,32
15101,26138,32
15154,20939,304
15157,8055,5
15158,29076,156
15159,11743,432
15161,14552,11
15171,8055,6
15195,7457,183
15196,19733,578
15197,14552,439
15241,11743,5148
15309,22973,74
15398,11743,17
15433,11305,1236
15447,11743,192
15547,11305,2273
15549,11305,1040
15557,10210,15
15559,11305,1044
15560,11305,1226
15561,26816,5
15566,10210,15
15567,10210,19
15568,11305,1758
15575,11743,566
15595,11305,15
15613,11743,356
15622,7457,1244
15638,26138,200
15645,11305,289
15654,24526,39
15655,20939,19
15673,11305,58
15676,30358,33
15677,8055,7
15719,11743,268
15746,30358,16
15752,29076,95
15760,8055,4
15764,8055,35
15769,29076,180
15779,11743,472
15836,14552,25
15852,7457,83
15858,11743,701
15860,29076,130
15881,8055,317
15888,25647,8
15904,8517,31
15924,29076,13
15925,8055,148
15926,26138,1373
15931,8055,719
15957,8055,22
15997,28384,27
16006,8055,294
16012,7778,62
16055,20939,9
16059,8055,48
16076,7457,252
16130,14552,1333
16176,14552,32
16178,10210,13
16180,11743,28
16181,10210,26
16183,8055,16
16188,14552,24
16200,10210,11
16204,11743,561
16213,30358,162
16235,26138,9
16243,30358,89
16249,11743,393
16255,7457,52
16256,8055,28
16286,10210,12
16297,20939,1400
16298,20939,1654
16299,30358,937
16300,7457,124
16304,20939,6016
16305,30358,38
16307,8517,284
16312,30358,17
16315,26138,7
16316,11743,145
16319,11743,548
16322,20939,2552
16326,11743,298
16328,10210,54
16331,20939,2981
16333,29076,12
16335,11743,289
16341,8517,269
16342,10210,20
16343,10210,116
16349,11743,324
16360,11743,320
16363,20939,1333
16372,7457,134
16387,11743,481
16396,20939,8
16424,10210,34
16429,8517,50
16431,30358,197
16433,29076,148
16434,11743,278
16435,30358,192
16527,11743,1129
16532,7457,8
16619,21773,225
16631,7457,1319
16634,20673,7
16640,11743,876
16685,11743,206
16690,10210,28
16696,10210,7
16697,8055,58
16703,8517,9
16707,8055,96
16729,11743,575
16735,20939,11
16788,20939,40
16790,10210,39
16791,23471,8
16793,10210,142
16842,7457,207
16884,14552,772
16900,7457,266
16902,28384,73
16948,11743,357
16951,30358,23
16981,7457,2869
16982,7778,781
16992,7457,9
17020,10210,83
17061,20939,232
17125,21773,33
17136,20939,9
17143,25647,99
17150,11743,1978
17157,7457,5
17162,11743,565
17174,7457,35
17184,14821,279
17204,11743,216
17206,26816,5
17208,30358,5
17214,10210,31
17231,8055,74
17245,11743,5137
17250,25647,102
17267,23471,59
17303,7077,351
17309,8055,12
17324,11743,229
17343,26138,32
17349,23471,427
17461,11743,310
17478,10210,4
17487,8517,6
17488,7457,82
17490,11305,105
17491,11305,152
17529,11743,194
17533,11743,232
17567,14552,5
17645,11305,374
17650,11305,33
17660,8055,20
17683,20939,586
17688,11743,32
17689,8055,3
17690,8517,35
17716,8055,31
17717,23831,23
17728,7457,530
17768,14552,53
17780,26816,18
17781,20939,10
17799,11743,1006
17800,11305,123
17801,14552,173
17803,8055,283
17810,29076,10
17841,25647,30
17863,26816,28
17876,10210,13
17877,11743,285
17961,25647,5
17977,14552,111
17994,26816,285
18005,11743,37
18035,26138,8
18116,7457,115
18122,11743,2330
18130,7457,373
18131,26816,125
18135,7457,20507
18254,11743,2740
18266,23471,14
18288,21773,105
18304,24526,8
18342,11305,667
18373,26816,85
18386,23471,167
18392,11743,120
18402,11743,768
18405,11743,4259
18414,11305,83
18419,7457,11
18420,25647,2
18422,25647,4
18423,11305,199
18431,20939,522
18452,11743,471
18490,22973,220
18512,7457,4963
18521,23471,259
18525,23831,86
18545,7457,657
18553,14552,11
18580,11743,199
18600,11743,10
18630,26816,63
18646,21773,259
18723,8055,65
18728,4605,141
18749,8055,144
18750,26138,193
18765,4605,94
18825,30358,14
18839,14552,29
18864,19733,23
18878,11743,90
18884,10210,11
18889,14552,15
18892,26138,39
18931,24526,24
18943,26138,50
18956,26816,6
18989,8517,121
18990,30358,130
18999,29076,44
19000,20939,152
19001,8055,5
19049,25647,2
19057,11743,1330
19063,8055,526
19068,7457,10
19083,21773,77
19089,11743,2053
19106,11743,177
19117,23471,42
19164,7457,705
19302,11305,225
19307,11305,33
19312,11305,409
19314,7457,153
19321,11305,174
19330,2938,12
19351,7457,1997
19380,11305,44
19400,23471,16
19448,11743,307
19452,10210,18
19469,26138,32
19494,20939,429
19501,8055,398
19534,11743,448
19543,2938,52
19552,21773,10
19581,8055,7
19596,21773,182
19631,11743,391
19661,7457,7
19668,10210,28
19670,20939,46
19674,29076,30
19675,8055,23
19687,8055,6
19688,10210,10
19691,20939,220
19707,8517,7
19793,5951,12
19797,4605,4
20082,10210,14
20249,11743,102
20252,11743,133
20253,7457,5
20413,23831,876
20417,26816,26
20563,7457,787
20564,7457,1663
20995,10210,4
21025,23471,13
21027,21773,74
21031,4605,12
21060,26138,163
21323,10210,3
21324,7778,961
21325,11305,702
21326,20939,218
21327,26138,9
21328,11305,132
21329,26138,35
21330,26138,8
21337,20939,116
21340,11305,93
21343,11743,20
21348,7457,33
21362,8055,6
21436,20939,585
21445,8055,15
21484,7457,13
21611,26816,12
21618,11743,131
21671,20939,1087
21681,14821,4
21683,30358,97
21685,8517,278
21686,10210,44
21704,14552,39
21717,29076,110
21718,30358,429
21719,30358,254
21720,20939,216
21721,29076,82
21722,29076,60
21726,14821,420
21727,30358,196
21745,11743,459
21787,8055,70
21796,8517,21
21996,29076,32
22026,8055,10
22028,30358,49
22034,8055,62
22076,20939,59
22175,11743,237
22188,11743,270
22192,26138,74
22193,11743,80
22200,8517,5
22205,8055,798
22206,22973,22
22207,11743,346
22232,8055,523
22283,8055,207
22284,8055,123
22285,8055,105
22288,11743,1169
22290,11743,113
22304,11743,318
22320,30358,104
22321,26816,32
22322,26816,47
22323,30358,8
22325,10210,7
22326,11305,20
22327,11743,41
22328,7457,123
22358,8517,4
22369,2938,3
22374,11743,32
22411,20939,93
22416,8517,15
22417,8517,6
22418,26816,6
22420,7778,360
22421,26816,5
22435,21773,246
22463,21773,598
22469,11305,33
22543,21773,341
22584,11743,447
22590,8055,25
22628,8055,3125
22632,14552,110
22649,10210,4
22680,10210,8
22686,10210,5
22695,8055,61
22875,11305,148
22896,20939,11
22904,7457,311
22911,7457,262
22917,11743,884
22995,7457,70
23031,11305,46
23196,23471,30
23217,30358,9
23219,10210,30
23220,8055,178
23221,8055,135
23223,31155,9
23224,10210,33
23225,11743,137
23228,11743,392
23232,10210,15
23289,23831,4
23316,31155,515
23419,4605,7
23422,10210,7
23426,11743,223
23454,7457,6
23522,25647,143
23529,20939,87
23534,21773,4
23577,14552,23
23686,11305,81
23753,2938,7
23754,8055,39
23772,11305,258
23807,14821,2470
23814,31155,12
23875,8055,10
23876,25647,10
23878,26138,23
23884,8055,11
23885,11743,204
23887,8055,7
23919,11305,174
23940,8055,35
23955,30358,41
23960,20939,3
23965,8055,50
23966,20939,29
24019,8150,67
24093,11743,143
24094,26138,47
24096,19733,7
24100,11743,694
24113,14552,85
24128,10210,34
24137,11305,16
24178,11743,3568
24192,29076,250
24213,10210,130
24215,11743,24
24244,8517,380
24271,11305,498
24280,11743,3888
24335,11743,88
24337,26138,1107
24384,20673,15
24408,25647,35
24431,11305,2822
24472,22973,20
24475,20673,87
24476,8055,7
24494,2938,9
24580,14552,9
24583,10210,128
24687,19733,428
24724,10210,4
24731,11743,548
24761,26138,11
24765,11743,770
24766,22973,316
24767,11305,493
24768,11305,342
24769,26138,23
24770,11305,1426
24779,11305,2081
24780,11305,3816
24781,11743,334
24782,7457,100
24784,7457,163
24790,21773,76
24796,8055,9
24800,29076,63
24807,19733,6
24812,7457,52
24813,2938,16
24814,2938,10
24815,7778,686
24816,7457,13
24818,11305,10
24830,11743,968
24861,23471,220
24870,26138,6
24929,30358,6
24937,7457,6
24938,11743,5
24963,11743,293
24965,7457,125
24983,14552,114
25014,10210,7
25017,14552,290
25019,14552,2116
25051,7457,104
25052,11743,83
25053,7457,21
25078,14552,23
25099,22973,49
25100,11305,1733
25101,22973,28
25102,8055,14
25103,22973,20
25104,7457,11
25105,11305,1225
25106,7457,14
25148,30358,3
25176,8517,46
25179,26138,39
